ca,de
"
","
"
"French va respondre dient “De fet, no he sentit mai la necessitat de vindicació“.
","‘ - French antwortete mit den Worten: „Ich hatte eigentlich nie das Bedürfnis, mich zu rechtfertigen.
"
"«Però mai ens en vas dir res, d'això», va rondinar.
","„ Aber du hast uns nie etwas darüber gesagt,“, murrte er.
"
"… Pel gran líder Adolf Hitler!
","… Auf den großen Führer, Adolf Hitler!
"
"“Chuck” es demana què fallava i Mike explica que el que està veient és una reposició.
","- „Chuck“ fragt sich, was los ist, und Mike erklärt, was er sieht, sei eine Wiederholung.
"
"«El pas següent van ser relats a la revista ""Time"" i al ""New York Times""».
","'"" Darauf folgten Artikel im „Time“-Magazin und in der „New York Times“.
"
"""Les persones no podien distingir entre vins cars i barats"".
",""" Die Menschen konnten den Unterschied zwischen billigem und teurem Wein einfach nicht erkennen"".
"
"«Ets el tipus de company adequat», va dir ell.
","„ Du bist genau die richtige Sorte Kumpel“, sagte er.
"
"""No saps el que això significa per a nosaltres aquí"", van dir.
","„ Du weißt nicht, was uns das hier draußen bedeutet,“ sagte er.
"
"The Persian Boy va ser un best-seller entre la comunitat gai.
","„... ein Weltreich zu erobern“ war ein Bestseller in der Schwulengemeinschaft.
"
"– també existeix per a molts sistemes operatius.
","– gibt es auch für viele Operationssysteme.
"
"“Ben trobat, amic meu!” Es va espaventar.
","„ Gut getroffen, mein Junge!“ Er bekam fürchterliche Angst.
"
"- Lucrèce et l'expérience, Éd.
","- Lucrèce et l’expérience, Éd.
"
"Sarah i Lee-Wortley s’havien unit a ells en la neu.
","... nachdem Sarah und Lee-Wortley sich ihnen im Schnee angeschlossen hatten.
"
"Després que Swearingen pengés el telèfon, Boston va preguntar: «Què tenim?»
","‚„ Nachdem Swearingen das Telefon aufgelegt hatte, fragte Boston, „Was haben wir?
"
"va dir ella.
","„, sagte sie.
"
"""Suposo que ho són"" va pensar ell.
",""" Vermutlich sind sie das"", sinnierte er.
"
"– L’escut d’armes del comptat de Zemplén.
","– Wappenzeichen des Bezirks Zemplén.
"
"""És clar que sí"", va dir en Richard, sorprès de la meva ingenuïtat.
","„ Warum, natürlich bin ich es“, sagte Richard, erstaunt über meine Einfalt.
"
"Van enviar cent cavallers que van fer retrocedir els rebels.
","100 Ritter wurden entsandt und drängten die Rebellen zurück.
"
"Mil persones van ser evacuades d'Alberton i de Frenchtown.
","1000 Menschen wurden aus Alberton und aus Frenchtown evakuiert.
"
"Catorze marines van ser assassinats.
","14 Marines wurden getötet.
"
"Es van provar quinze productes antivirus.
","15 Antivirenprodukte durchliefen den Test.
"
"La cadaverina és el producte de descarboxilació de l'aminoàcid lisina.
","1,5-Diaminopentan ist das Decarboxylierungsprodukt von Aminosäure und Lysin.
"
"“Setze”, va afegir en Dormouse.
","„16.“, fügte die Schlafmaus hinzu.
"
"Setze rals de plata equivalen a un escut d’or.
","16 Silber-Reales entsprachen einem Gold-Escudo.
"
"Setze vins van rebre una classificació especial.
","16 Weine erhielten eine besondere Klassifizierung.
"
"Es van bombardejar disset camions i trenta-nou contrabandistes van morir en la vaga.
","17 Lastwagen wurden bombardiert und 39 Schmuggler kamen bei dem Angriff ums Leben.
"
"Abraham Blackborne de Dagenham, Essex, i Saint Martin-in-the-Fields, Westminster.
","1797 wickelte Cockerell den Verkauf der Fotheringhay, Northamptonshire, des Nachlasses von Pastor Abraham Blackborne aus Dagenham, Essex, und St. Martin-in-the-Fields, Westminster, ab.
"
"L'any 1969 l'home va trepitjar per primer cop la superfície de la lluna.
","1969 bestieg der erste Mann die Mondoberfläche.
"
"El mil nou-cents seixanta-nou l'home va trepitjar per primer cop la superfície de la lluna.
","1969 betrat der erste Mensch die Oberfläche des Monds.
"
"L'any dos mil vint-i-vuit serà el primer any dins en més de vuit dècades que hem d'anul·lar l'esdeveniment.
","2028 wird seit über acht Jahrzehnten das erste Jahr sein, in dem wir die Veranstaltung absagen müssen.
"
"Vint-i-dos estats, més el districte de Colúmbia, no tenen lleis de dret a treballar.
","22 Staaten sowie der District of Columbia haben keine Gesetze für das Recht auf Arbeit.
"
"Vint-i-sis anys més tard, la seva neboda Tadukhepa també es convertí en la dona d'Amenofis.
","26 Jahre später wurde ihre Nichte Tadukhepa auch Amenhoteps Frau.
"
"S'havien eradicat vint-i-sis espècies vegetals i els ocells acrocefàlids de Laysan s'havien extingit.
","26 Pflanzenarten wurden ausgerottet und der Laysan-Rohrsänger war ausgestorben.
"
"Vint-i-nou persones van ser arrestades.
","29 Personen wurden festgenommen.
"
"Durant tres dècades va ser el líder del Conservative Monday Club.
","30 Jahre lang war er eine Leitfigur im Konservativen Montagsclub.
"
"A la Primera Guerra Mundial van morir trenta-quatre persones de Kijevo.
","34 Menschen aus Kijevo starben im Ersten Weltkrieg.
"
"També es van destruir trenta-vuit cases.
","38 Häuser wurden ebenfalls zerstört.
"
"Trenta-vuit passatgers i cinc tripulants van ser assassinats.
","38 Passagiere und fünf Besatzungsmitglieder kamen ums Leben.
"
"S'espera que la impressió en 3D democratitzi la fabricació.
","3D-Drucken wird voraussichtlich die Herstellung demokratisieren.
"
"No m'arruïnaré per cinquanta dòlars.
","50 Dollar werden mich nicht verhunzen.
"
"Seixanta-un dels cables de Venona tenen a veure amb les activitats de l’anell espia de Silvermaster.
","61 der Venona-Telegramme beziehen sich auf den Silvermaster-Spionagering.
"
"Setanta bombers van lluitar contra l’incendi que va provocar la paralització del bulevard Jacka.
","70 Feuerwehrmänner kämpften gegen die Flammen, die den Jacka Boulevard lahmlegten.
"
"El noranta-tres per cent dels participants eren afroamericans.
","93 Prozent der Befragten waren Afroamerikaner.
"
"Noranta-cinc línies i prou, això és tot.
","95 Zeilen und nicht mehr, fertig.
"
"“a” = “b”.
","„a“ = „b“.
"
"En realitat, ""A. arizonicum"" pot estar format per uns quants gèneres i espècies.
","„A. arizonicum“ kann in der Tat aus mehreren verschiedenen Gattungen und Arten bestehen.
"
"A. Crutchfield al comandament.
","A. Crutchfield hat das Kommando.
"
"“A Cuckoo in the Nest” o “Rookery Nook”.
","„A Cuckoo in the Nest“ oder „Rookery Nook“.
"
"""A Day Before Tomorrow"" és un documental del grup finlandès Nightwish.
","„A Day Before Tomorrow“ ist ein Dokumentarfilm über die finnische Band Nightwish.
"
"Aleshores, A veu una destral de foc en una funda de vidre que hi havia a prop.
","A erblickt daraufhin eine Feueraxt in einer Glasvitrine, ganz in der Nähe.
"
"""A. eydouxii"" es menja els ous de peix.
","""A. eydouxii"" isst die Eier von Fischen.
"
"«A fi, foc» és la còpula en romanès.
","„A fi, fire“ ist das Copula in Rumänisch.
"
"A segueix a una síl·laba tònica mentre a segueix a una síl·laba àtona.
","A folgt auf eine betonte Silbe, während a auf eine unbetonte Silbe folgt.
"
"A. Gill va ser un destacat columnista durant molts anys.
","A. Gill war über viele Jahre ein berühmter Kolumnist.
"
"A. H. Tuttle es va instal·lar a aquell lloc i va construir una cabana de troncs.
","A. H. Tuttle ließ sich an diesem Ort nieder und baute ein Blockhaus.
"
"A. Happ, Brandon Lió i David Carpenter.
","A. Happ, Brandon Lyon und David Carpenter.
"
"«A House-Boat on the Styx» sembla no tenir personatges ficticis originals.
","„A House-Boat on the Styx“ scheint keine eigenen fiktionalen Figuren zu enthalten.
"
"Jance va créixer al petit poble de Bisbee, al desert d'Arizona.
","A. Jance konzentrierte sich auf die kleine Wüstenstadt Bisbee (Arizona).
"
"A. L. Diamond.
","A. L. Diamond.
"
"A. L. Rowse va gosar dir que la verborrea avorrida de Polonius podria assemblar-se a la de Burghley.
","A. L. Rowse spekulierte, dass Polonius' ermüdende Wortwahl der von Burghley ähnlich gewesen sein könnte.
"
"A. Lumsdaine i F. D. Sheffield.
","A. Lumsdaine und F. D. Sheffield.
"
"A. McDavitt, una figura primerenca en la indústria de la fusta local.
","A. McDavitt, eine frühe Figur der lokalen Holzindustrie.
"
"L’""A. melanopus"" es pot tornar territorial i agressiu un cop establert a l’aquari.
","„A. melanopus“ kann territorial und aggressiv werden, sobald er sich in einem Tank festgesetzt hat.
"
"A Music War presenta l'actuació en directe de Nomi amb la cançó “Total Eclipse”.
","„A Music War“ zeigt Nomis Live-Auftritt von „Total Eclipse“.
"
"A Newsboys Holiday, que inclou una cançó de Tait gravada prèviament.
","A Newsboys Holiday, ein vorher aufgenommener Tait-Song ist inkludiert.
"
"“Una partícula d'argila: la biografia d'Alec Skempton”.
","„A Particle of Clay: the Biography of Alec Skempton“.
"
"A. Richards va promoure el seu ús a les escoles de la Xina.
","A. Richards warb für dessen Verwendung in Chinas Schulen.
"
"A. Richards, que era considerat un treball estàndard en semàntica.
","A. Richards, was als Standardarbeit im Bereich der Semantik galt.
"
"Moviment anticomunista secret de A. Santamaria.
","A. Santamarias geheime antikommunistische Bewegung.
"
"L'A. sexdens segueix prou ajustadament el disseny anatòmic de les formigues.
","""A. Sexdens"" folgt ziemlich genau dem Grundkörperplan der Ameisen.
"
